20070810,al.SHFE,al0710.SHFE,80
20070813,al.SHFE,al0711.SHFE,180
20070814,al.SHFE,al0710.SHFE,50
20070815,al.SHFE,al0711.SHFE,-30
20070828,al.SHFE,al0712.SHFE,-70
20070829,al.SHFE,al0711.SHFE,20
20070830,al.SHFE,al0712.SHFE,-30
20070905,al.SHFE,al0711.SHFE,-20
20070906,al.SHFE,al0712.SHFE,10
20070907,al.SHFE,al0711.SHFE,30
20070911,al.SHFE,al0712.SHFE,-30
20070918,al.SHFE,al0711.SHFE,0
20070919,al.SHFE,al0712.SHFE,-40
20070921,al.SHFE,al0802.SHFE,-110
20070925,al.SHFE,al0712.SHFE,90
20070927,al.SHFE,al0711.SHFE,-40
20070928,al.SHFE,al0712.SHFE,-40
20071009,al.SHFE,al0801.SHFE,10
20071010,al.SHFE,al0712.SHFE,0
20071015,al.SHFE,al0801.SHFE,20
20071121,al.SHFE,al0802.SHFE,80
20071210,al.SHFE,al0804.SHFE,290
20071211,al.SHFE,al0802.SHFE,-340
20071213,al.SHFE,al0805.SHFE,490
20071214,al.SHFE,al0803.SHFE,-370
20071217,al.SHFE,al0805.SHFE,310
20071218,al.SHFE,al0803.SHFE,-410
20080117,al.SHFE,al0804.SHFE,160
20080121,al.SHFE,al0803.SHFE,-170
20080122,al.SHFE,al0804.SHFE,170
20080218,al.SHFE,al0805.SHFE,50
20080314,al.SHFE,al0806.SHFE,165
20080418,al.SHFE,al0807.SHFE,30
20080519,al.SHFE,al0808.SHFE,265
20080617,al.SHFE,al0809.SHFE,170
20080718,al.SHFE,al0810.SHFE,150
20080818,al.SHFE,al0811.SHFE,190
20080917,al.SHFE,al0812.SHFE,170
20081016,al.SHFE,al0901.SHFE,80
20081119,al.SHFE,al0902.SHFE,40
20081208,al.SHFE,al0904.SHFE,-405
20081209,al.SHFE,al0902.SHFE,-110
20081212,al.SHFE,al0903.SHFE,-20
20090115,al.SHFE,al0904.SHFE,-125
20090210,al.SHFE,al0905.SHFE,130
20090309,al.SHFE,al0906.SHFE,-25
20090402,al.SHFE,al0907.SHFE,-145
20090427,al.SHFE,al0908.SHFE,-10
20090527,al.SHFE,al0909.SHFE,-5
20090626,al.SHFE,al0910.SHFE,30
20090722,al.SHFE,al0911.SHFE,-10
20090821,al.SHFE,al0912.SHFE,100
20091012,al.SHFE,al1001.SHFE,-5
20091113,al.SHFE,al1002.SHFE,95
20091201,al.SHFE,al1003.SHFE,180
20091228,al.SHFE,al1004.SHFE,200
20100119,al.SHFE,al1005.SHFE,175
20100225,al.SHFE,al1006.SHFE,170
20100401,al.SHFE,al1007.SHFE,125
20100505,al.SHFE,al1008.SHFE,155
20100601,al.SHFE,al1009.SHFE,130
20100705,al.SHFE,al1010.SHFE,100
20100730,al.SHFE,al1011.SHFE,105
20100825,al.SHFE,al1012.SHFE,95
20100927,al.SHFE,al1101.SHFE,135
20101029,al.SHFE,al1102.SHFE,140
20101125,al.SHFE,al1103.SHFE,135
20110104,al.SHFE,al1104.SHFE,215
20110210,al.SHFE,al1105.SHFE,150
20110315,al.SHFE,al1106.SHFE,150
20110421,al.SHFE,al1107.SHFE,85
20110518,al.SHFE,al1108.SHFE,25
20110520,al.SHFE,al1107.SHFE,-30
20110523,al.SHFE,al1108.SHFE,10
20110530,al.SHFE,al1106.SHFE,-85
20110531,al.SHFE,al1108.SHFE,35
20110623,al.SHFE,al1109.SHFE,0
20110628,al.SHFE,al1108.SHFE,10
20110629,al.SHFE,al1109.SHFE,0
20110718,al.SHFE,al1110.SHFE,-85
20110812,al.SHFE,al1111.SHFE,-130
20110920,al.SHFE,al1112.SHFE,-130
20111021,al.SHFE,al1201.SHFE,-85
20111118,al.SHFE,al1202.SHFE,40
20111207,al.SHFE,al1203.SHFE,-40
20111208,al.SHFE,al1202.SHFE,35
20111212,al.SHFE,al1203.SHFE,15
20120106,al.SHFE,al1204.SHFE,0
20120111,al.SHFE,al1203.SHFE,-5
20120113,al.SHFE,al1204.SHFE,60
20120120,al.SHFE,al1203.SHFE,-45
20120130,al.SHFE,al1204.SHFE,100
20120131,al.SHFE,al1205.SHFE,70
20120201,al.SHFE,al1204.SHFE,-85
20120206,al.SHFE,al1205.SHFE,110
20120307,al.SHFE,al1206.SHFE,105
20120313,al.SHFE,al1205.SHFE,-105
20120314,al.SHFE,al1206.SHFE,100
20120405,al.SHFE,al1207.SHFE,75
20120425,al.SHFE,al1208.SHFE,5
20120516,al.SHFE,al1209.SHFE,-20
20120518,al.SHFE,al1208.SHFE,0
20120521,al.SHFE,al1209.SHFE,-25
20120604,al.SHFE,al1206.SHFE,0
20120605,al.SHFE,al1209.SHFE,30
20120608,al.SHFE,al1210.SHFE,5
20120611,al.SHFE,al1209.SHFE,10
20120613,al.SHFE,al1210.SHFE,10
20120723,al.SHFE,al1211.SHFE,-30
20120817,al.SHFE,al1212.SHFE,15
20120925,al.SHFE,al1211.SHFE,-25
20120926,al.SHFE,al1301.SHFE,70
20120928,al.SHFE,al1212.SHFE,-55
20121009,al.SHFE,al1301.SHFE,35
20121102,al.SHFE,al1212.SHFE,-70
20121105,al.SHFE,al1302.SHFE,-10
20121108,al.SHFE,al1212.SHFE,-5
20121109,al.SHFE,al1302.SHFE,60
20121113,al.SHFE,al1301.SHFE,-45
20121115,al.SHFE,al1302.SHFE,35
20121128,al.SHFE,al1303.SHFE,55
20121129,al.SHFE,al1301.SHFE,-110
20121130,al.SHFE,al1302.SHFE,50
20121203,al.SHFE,al1303.SHFE,60
20121204,al.SHFE,al1302.SHFE,-120
20121205,al.SHFE,al1303.SHFE,85
20130104,al.SHFE,al1304.SHFE,140
20130107,al.SHFE,al1303.SHFE,-50
20130109,al.SHFE,al1304.SHFE,90
20130111,al.SHFE,al1303.SHFE,-100
20130118,al.SHFE,al1304.SHFE,60
20130130,al.SHFE,al1305.SHFE,85
20130225,al.SHFE,al1306.SHFE,85
20130328,al.SHFE,al1307.SHFE,60
20130401,al.SHFE,al1306.SHFE,-50
20130402,al.SHFE,al1307.SHFE,10
20130416,al.SHFE,al1308.SHFE,-50
20130417,al.SHFE,al1307.SHFE,-55
20130418,al.SHFE,al1308.SHFE,-50
20130517,al.SHFE,al1309.SHFE,60
20130521,al.SHFE,al1308.SHFE,-10
20130523,al.SHFE,al1309.SHFE,-10
20130529,al.SHFE,al1308.SHFE,-15
20130530,al.SHFE,al1309.SHFE,-5
20130614,al.SHFE,al1310.SHFE,0
20130717,al.SHFE,al1311.SHFE,-5
20130718,al.SHFE,al1310.SHFE,0
20130719,al.SHFE,al1311.SHFE,20
20130723,al.SHFE,al1310.SHFE,25
20130724,al.SHFE,al1311.SHFE,0
20130725,al.SHFE,al1310.SHFE,-25
20130726,al.SHFE,al1311.SHFE,-40
20130730,al.SHFE,al1310.SHFE,25
20130731,al.SHFE,al1311.SHFE,5
20130812,al.SHFE,al1310.SHFE,0
20130814,al.SHFE,al1311.SHFE,-10
20130820,al.SHFE,al1312.SHFE,15
20130917,al.SHFE,al1401.SHFE,-5
20130924,al.SHFE,al1312.SHFE,50
20130927,al.SHFE,al1401.SHFE,-50
20130930,al.SHFE,al1312.SHFE,40
20131008,al.SHFE,al1401.SHFE,-75
20131022,al.SHFE,al1311.SHFE,95
20131023,al.SHFE,al1401.SHFE,-90
20131101,al.SHFE,al1402.SHFE,5
